ID|NIVEL1|NIVEL2|NIVEL3|NIVEL4|NIVEL5|TOTAL|ANOMES
1|Receita Bruta|||||      18.610.712,33|202401
2|Tributos|ISS||||        -930.536,05|202401
3|Tributos|COFINS||||      -1.414.414,69|202401
4|Receita operacional líquida|||||      16.265.761,59|202401
5|Custos dos serviços prestados|Consultas|Sistema de Contratos (Ex-Sircof)|||                  0|202401
6|Custos dos serviços prestados|Consultas|SISEG|||        -176.368,46|202401
7|Custos dos serviços prestados|Consultas|Sistema Nacional de Gravames - SNG|||      -4.733.696,46|202401
8|Custos dos serviços prestados|Outros custos||||                  0|202401
9|Margem bruta|||||      11.355.696,67|202401
10|Despesas operacionais|Pessoal|Despesa com empregados|Gratificacoes||          -6.141,87|202401
11|Despesas operacionais|Pessoal|Despesa com empregados|Horas Extras||         -47.989,90|202401
12|Despesas operacionais|Pessoal|Despesa com empregados|Salários||      -1.958.094,11|202401
13|Despesas operacionais|Pessoal|Despesa com empregados|Ferias||        -302.880,24|202401
14|Despesas operacionais|Pessoal|Despesa com empregados|Adicional Por Tempo De Servico||                  0|202401
15|Despesas operacionais|Pessoal|Despesa com empregados|Bonus||         -19.912,10|202401
16|Despesas operacionais|Pessoal|Despesa com empregados|Decimo - Terceiro Salario||        -226.948,72|202401
17|Despesas operacionais|Pessoal|Despesa com empregados|Pro Labore||                  0|202401
18|Despesas operacionais|Pessoal|Despesas com indenizacoes|Aviso Previo||         -27.000,00|202401
19|Despesas operacionais|Pessoal|Despesas com indenizacoes|Ferias Indenizadas||          -3.000,00|202401
20|Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Rescisao Fgts||         -11.479,29|202401
21|Despesas operacionais|Pessoal|Despesas com indenizacoes|Indenizacoes Trabalhistas||                  0|202401
22|Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Sobre Rescisao||                  0|202401
23|Despesas operacionais|Pessoal|Despesas com indenizacoes|13º Salario Proporcional (Indenizado)||          -2.250,00|202401
24|Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Odontologica|         -66.343,43|202401
25|Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Medica|        -440.936,15|202401
26|Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Ajuda Educacional|                  0|202401
27|Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Bolsa Estagio|         -29.699,31|202401
28|Despesas operacionais|Pessoal|Despesas com assistencia social|Treinamento|Cursos, Seminarios E Palestras|          -8.932,00|202401
29|Despesas operacionais|Pessoal|Despesas com assistencia social|Seguros|Seguro De Vida Em Grupo|         -44.729,45|202401
30|Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Alimentacao|        -173.310,92|202401
31|Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Refeicao|        -151.935,86|202401
32|Despesas operacionais|Pessoal|Despesas com assistencia social|Vale Transporte|Vale Transporte|         -10.551,35|202401
33|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Educacao|                  0|202401
34|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Doenca|                  0|202401
35|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Creche|          -9.950,33|202401
36|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Ambulatorio|                  0|202401
37|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Medicina Do Trabalho|          -2.346,34|202401
38|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Seguranca Do Trabalho|                  0|202401
39|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Baba|          -2.171,17|202401
40|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Programas Assistenciais|                  0|202401
41|Despesas operacionais|Pessoal|Despesas com assistencia social|Plano de Previdência Privada|Previdência Privada|        -120.720,48|202401
42|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Ferias|         -34.415,41|202401
43|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ 13º Salario|         -58.445,63|202401
44|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Folha De Pagamento|        -518.195,27|202401
45|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Ferias|         -10.765,79|202401
46|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Rescisao|          -5.171,52|202401
47|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Folha De Pagamento|        -159.277,73|202401
48|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ 13º Salario|         -18.311,65|202401
49|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Folha De Pagamento|         -20.343,94|202401
50|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ 13º Salario|          -2.269,42|202401
51|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Ferias|          -1.349,61|202401
52|Despesas operacionais|Serviços de terceiros|Honorários de consultoria|||        -262.544,90|202401
53|Despesas operacionais|Serviços de terceiros|Honorários advocatícios|||        -391.724,73|202401
54|Despesas operacionais|Serviços de terceiros|Honorários de auditoria|||                  0|202401
55|Despesas operacionais|Serviços de terceiros|Outros serviços de terceiros|||         -67.560,82|202401
56|Despesas operacionais|Serviços de terceiros|Serviços de informática|||        -895.538,86|202401
57|Despesas operacionais|Serviços de terceiros|Equipamentos|||        -150.948,35|202401
58|Despesas operacionais|Eventos|Eventos|||         -56.317,73|202401
59|Despesas operacionais|Eventos|Patrocínio de eventos|||                  0|202401
60|Despesas operacionais|Eventos|Outros eventos|||                  0|202401
61|Despesas operacionais|Localização|Serviços de limpeza|||         -24.215,86|202401
62|Despesas operacionais|Localização|Condomínio|||        -151.187,67|202401
63|Despesas operacionais|Localização|Conservação, manutenção e reparos|||          -2.850,00|202401
64|Despesas operacionais|Localização|Outras|||         -68.203,77|202401
65|Despesas operacionais|Localização|Energia elétrica|||         -56.919,63|202401
66|Despesas operacionais|Localização|Aluguel|||          -1.350,00|202401
67|Despesas operacionais|Localização|Depreciação e amortização|||        -296.907,74|202401
68|Despesas operacionais|Marketing|Comunicação institucional|||                  0|202401
69|Despesas operacionais|Marketing|Anúncios e editais|||                  0|202401
70|Despesas operacionais|Marketing|Propaganda e divulgação|||        -717.508,41|202401
71|Despesas operacionais|Representação institucional|Despesas De Viagens Em Congressos E Seminarios|||                  0|202401
72|Despesas operacionais|Representação institucional|Viagens|||         -25.440,88|202401
73|Despesas operacionais|Representação institucional|Representação institucional|||                  0|202401
74|Despesas operacionais|Representação institucional|Representação Social|||          -5.575,32|202401
75|Despesas operacionais|Representação institucional|Representação Em Congressos E Seminarios|||                  0|202401
76|Despesas operacionais|Doações e contribuições|Anuidades a entidades de classe|||         -19.970,21|202401
77|Despesas operacionais|Doações e contribuições|Contribuicoes, mensalidades e anuidades |||         -14.872,43|202401
78|Despesas operacionais|Doações e contribuições|Doacoes|||         -10.000,00|202401
79|Despesas operacionais|Outras despesas|Material de expediente|||         -14.333,38|202401
80|Despesas operacionais|Outras despesas|Comunicação|||         -30.108,46|202401
81|Despesas operacionais|Outras despesas|Convênios|||                  0|202401
82|Despesas operacionais|Outras despesas|Veículos|||         -12.193,71|202401
83|Despesas operacionais|Outras despesas|Crédito COFINS|||          38.962,11|202401
84|Despesas operacionais|Outras despesas|Diversos|Impostos e taxas||          -2.000,00|202401
85|Despesas operacionais|Outras despesas|Diversos|Acordos judiciais||         -16.965,61|202401
86|Despesas operacionais|Outras despesas|Diversos|Baixas e cobranças||             913,28|202401
87|Despesas operacionais|Outras despesas|Diversos|Provisão para crédito de liquidação duvidosa||        -619.957,41|202401
88|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Refeição|          -1.268,60|202401
