NIVEL1|NIVEL2|NIVEL3|NIVEL4|NIVEL5|TOTAL|ANOMES
Receita Bruta|||||      19.537.540,90|202501
Tributos|ISS||||        -976.877,06|202501
Tributos|COFINS||||      -1.524.853,08|202501
Receita operacional líquida|||||      17.035.810,76|202501
Custos dos serviços prestados|Consultas|Sistema Nacional de Gravames - SNG|||      -4.930.770,39|202501
Custos dos serviços prestados|Consultas|SISEG|||        -246.153,46|202501
Custos dos serviços prestados|Consultas|Sistema de Contratos (Ex-Sircof)|||                  0|202501
Custos dos serviços prestados|Outros custos||||                  0|202501
Margem bruta|||||      11.858.886,91|202501
Despesas operacionais|Pessoal|Despesa com empregados|Pro Labore||                  0|202501
Despesas operacionais|Pessoal|Despesa com empregados|Ferias||         -63.726,99|202501
Despesas operacionais|Pessoal|Despesa com empregados|Gratificacoes||         -14.755,23|202501
Despesas operacionais|Pessoal|Despesa com empregados|Horas Extras||                  0|202501
Despesas operacionais|Pessoal|Despesa com empregados|Salários||      -2.279.416,31|202501
Despesas operacionais|Pessoal|Despesa com empregados|Decimo - Terceiro Salario||        -191.180,94|202501
Despesas operacionais|Pessoal|Despesa com empregados|Adicional Por Tempo De Servico||                  0|202501
Despesas operacionais|Pessoal|Despesa com empregados|Bonus||                  0|202501
Despesas operacionais|Pessoal|Despesas com indenizacoes|Aviso Previo||                  0|202501
Despesas operacionais|Pessoal|Despesas com indenizacoes|Ferias Indenizadas||                  0|202501
Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Rescisao Fgts||                  0|202501
Despesas operacionais|Pessoal|Despesas com indenizacoes|13º Salario Proporcional (Indenizado)||                  0|202501
Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Sobre Rescisao||                  0|202501
Despesas operacionais|Pessoal|Despesas com indenizacoes|Indenizacoes Trabalhistas||        -179.166,67|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Odontologica|         -61.735,17|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Medica|        -406.413,20|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Ajuda Educacional|          -8.833,33|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Bolsa Estagio|         -46.553,81|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Treinamento|Cursos, Seminarios E Palestras|                  0|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Seguros|Seguro De Vida Em Grupo|         -44.617,16|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Refeicao|        -213.499,51|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Alimentacao|        -164.985,48|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Vale Transporte|Vale Transporte|         -14.598,41|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Medicina Do Trabalho|          -2.595,46|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Ambulatorio|                  0|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Creche|         -11.018,68|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Doenca|                  0|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Seguranca Do Trabalho|          -1.260,13|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Educacao|                  0|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Programas Assistenciais|          -2.125,14|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Baba|          -1.502,55|202501
Despesas operacionais|Pessoal|Despesas com assistencia social|Plano de Previdência Privada|Previdência Privada|         -94.542,58|202501
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ 13º Salario|         -48.751,14|202501
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Ferias|         -16.250,37|202501
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Folha De Pagamento|        -585.013,76|202501
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Ferias|          -5.098,13|202501
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Rescisao|                  0|202501
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Folha De Pagamento|        -183.533,74|202501
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ 13º Salario|         -15.294,47|202501
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Folha De Pagamento|         -22.941,70|202501
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ 13º Salario|          -1.911,81|202501
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Ferias|            -637,26|202501
Despesas operacionais|Serviços de terceiros|Honorários advocatícios|||        -956.002,89|202501
Despesas operacionais|Serviços de terceiros|Honorários de consultoria|||      -2.026.184,78|202501
Despesas operacionais|Serviços de terceiros|Honorários de auditoria|||                  0|202501
Despesas operacionais|Serviços de terceiros|Equipamentos|||        -134.746,37|202501
Despesas operacionais|Serviços de terceiros|Serviços de informática|||      -2.083.639,99|202501
Despesas operacionais|Serviços de terceiros|Outros serviços de terceiros|||        -153.031,32|202501
Despesas operacionais|Eventos|Patrocínio de eventos|||                  0|202501
Despesas operacionais|Eventos|Eventos|||        -300.584,95|202501
Despesas operacionais|Eventos|Outros eventos|||                  0|202501
Despesas operacionais|Localização|Condomínio|||        -164.200,54|202501
Despesas operacionais|Localização|Conservação, manutenção e reparos|||          -2.850,00|202501
Despesas operacionais|Localização|Energia elétrica|||         -57.431,96|202501
Despesas operacionais|Localização|Aluguel|||                  0|202501
Despesas operacionais|Localização|Depreciação e amortização|||        -317.817,45|202501
Despesas operacionais|Localização|Outras|||        -564.548,26|202501
Despesas operacionais|Localização|Serviços de limpeza|||         -24.900,00|202501
Despesas operacionais|Marketing|Anúncios e editais|||                  0|202501
Despesas operacionais|Marketing|Comunicação institucional|||         -93.645,00|202501
Despesas operacionais|Marketing|Propaganda e divulgação|||        -709.091,71|202501
Despesas operacionais|Representação institucional|Representação Social|||         -24.500,00|202501
Despesas operacionais|Representação institucional|Representação institucional|||                  0|202501
Despesas operacionais|Representação institucional|Viagens|||        -336.250,82|202501
Despesas operacionais|Representação institucional|Despesas De Viagens Em Congressos E Seminarios|||                  0|202501
Despesas operacionais|Representação institucional|Representação Em Congressos E Seminarios|||                  0|202501
Despesas operacionais|Doações e contribuições|Contribuicoes, mensalidades e anuidades |||        -146.000,00|202501
Despesas operacionais|Doações e contribuições|Anuidades a entidades de classe|||        -101.612,00|202501
Despesas operacionais|Doações e contribuições|Doacoes|||         -35.000,00|202501
Despesas operacionais|Outras despesas|Convênios|||                  0|202501
Despesas operacionais|Outras despesas|Comunicação|||         -36.959,11|202501
Despesas operacionais|Outras despesas|Material de expediente|||         -12.891,31|202501
Despesas operacionais|Outras despesas|Veículos|||          -7.605,79|202501
